"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"SERVIÇOS";"SEGMENTOS TURISTICOS";"LINGUAS"
EMPREENDIMENTOS TURÍSTICOS BURACO DAS ARARAS LTDA ME;BURACO DAS ARARAS ECOTURISMO;"04.409.393/0001-42";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;79.240.000;MS;Jardim;Jardim;ROD BR 267, KM 510, JARDIM/PORTO MURT.;(67) 3255-4344;(67) 3255-4344;contato@buracodasararas.tur.br;;www.buracodasararas.com.br;"12.043746.75.0001-0";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário)";Caminhadas ,Observação da fauna ,Observação da flora ,Observação de formações geológicas;Ecoturismo,Turismo de Aventura;Espanhol ,Inglês
OSWALDO CRUZ DE ALMEIDA JR ATIVIDADES DE AVENTURA;PLANETA VERTICAL;"11.182.111/0001-82";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;29.025.120;ES;Vitória;Vila Rubim;ESCADARIA EURÍPIDES ROCHA, Nº 21, LOJA 01;(27) 3071-2017;;baldin23@planetavertical.com.br;;www.planetavertical.com.br;"08.045767.75.0001-0";"7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Secundário)";Caminhadas ,Escalada ,Rapel ,Montanhismo;Ecoturismo,Turismo de Aventura,Turismo de Esporte;Espanhol ,Inglês
MOABIO CRISTINO DE ARAUJO TOMASI - ME;BOB WIND SCHOOL;"08.909.352/0001-76";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;62.598.000;CE;Jijoca de Jericoacoara;Jijoca de Jericoacoara;RUA DA PRAIA, S/N - VILA DE JERICOACOARA;(88) 99904-1838;;contact@bobwindschool.com.br;;www.bobwindschool.com.br;"06.087819.75.0001-8";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Secundário)";Kitesurf ,Windsurf;Turismo de Aventura,Turismo de Esporte,Turismo Náutico;Alemão ,Italiano ,Inglês
VERA LUCIA LIBERALI - ME;RECANTO XAVANTE;"08.431.753/0001-63";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;85.823.000;PR;São João d'Oeste (Cascavel);São João d'Oeste;ESTRADA COLONIA ESPERANCA, S/N CENTRALITO;(45) 3225-2499;;contato@recantoxavante.com.br;;;"18.055757.75.0001-8";"7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário)";Caminhadas ,Observação da fauna ,Observação da flora;Turismo de Negócios e Eventos,Turismo Rural;Nenhuma das Opções
TICO WIND JERI ESPORTES NAUTICOS LTDA - ME;TICO WIND JERI;"12.002.401/0001-60";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;62.598.973;CE;Jijoca de Jericoacoara;Centro;RUA DA PRAIA, 30 - VILA DE JERICOACOARA;(88) 99662-8285;;eduardogiudici@ticowindjeri.com;;www.ticowindjeri.com;"06.085164.75.0001-6";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Primário)";Locação de Bicicletas para Fins Recreativos ,Locação de Pranchas de Surfe;Turismo de Esporte,Turismo Náutico;Espanhol ,Italiano ,Francês ,Inglês
PASSEIOS TURÍSTICOS MIRIAN & JOSE LTDA - ME;GRUTA SÃO MATEUS NOSSA SENHORA;"04.145.125/0001-60";Sociedade Empresária;"08/11/2000";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;79.290.000;MS;Bonito;Bonito;ROD. DO TURISMO - KM 01 - GLEBA B - ZONA RURAL;(67) 3255-4646;(67) 3255-1122;posto@bonitonline.com.br;;;"12.021894.75.0001-7";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Observação da fauna ,Observação da flora ,Observação de formações geológicas ,Espeleoturismo ,Turismo Místico/Esotérico (ou visita a lugares místicos ou esotéricos);Ecoturismo,Turismo de Aventura,Turismo Cultural;Inglês
NATURALS CONSULTORIAS LTDA-ME;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS;"06.312.751/0001-20";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;77.645.000;TO;Lajeado;Lajeado;AV. JUSTINIANO MONTEIRO, 2151 SALA 03;(63) 98403-3300;;tur.valdecir@gmail.com;;;"27.079624.75.0001-6";"7020-4/00-CONSULTORIA NA ADMINISTRAÇÃO DE EMPRESAS (Primário)";Consultoria em Marketing ,Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos ,Consultoria da Área de Estatística/Economia para o Turismo;Ecoturismo,Turismo Cultural;Nenhuma das Opções
OSN CONSULTORIA LTDA ME;OSN;"11.519.672/0001-24";Sociedade Empresária;"05/02/2010";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;88.085.201;SC;Florianópolis;Abraão;RUA JOAO MEIRELLES, 884;(48) 9111-3933;(48) 3025-3930;comercial@discoverbrasil.com.br;henrique@sonsulturismo.com.br;www.osnconsultoria.com.br;"24.034738.75.0001-4";"7911-2/00-PLANEJAMENTO, ASSESSORAMENTO E ORGANIZAÇÃO DE VIAGENS (Primário), 7020-4/00-CONSULTORIA NA ADMINISTRAÇÃO DE EMPRESAS (Secundário)";Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos;Ecoturismo,Turismo Náutico,Turismo de Negócios e Eventos;Espanhol ,Italiano ,Inglês
CARLOS ALEXANDRE FERNANDES DE SOUZA 78719267649;TAIGUARA TURISMO, TRANSPORTES E TECNOLOGIA;"27.086.681/0001-09";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;30.730.220;MG;Belo Horizonte;Minas Brasil;RUA XAVIER DA VEIGA, 121;(31) 97168-3821;;carlexfers@gmail.com;;;"11.084598.75.0001-3";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário)";Pesca desembarcada ,Passeios para estâncias hidrominerais, spas, balneários, resort, clínicas naturalistas;;Espanhol
ESCOLA ECOLOGICA FRAIBURGO LTDA - ME;ESCOLA ECOLOGICA FRAI;"21.843.244/0001-06";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;89.580.000;SC;Fraiburgo;Fraiburgo;AV VIDEIRA. 30;(49) 3246-1229;(49) 98831-2461;luanabecker94@gmail.com;;;"24.091100.75.0001-2";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário)";Caminhadas ,Observação da fauna ,Observação da flora ,Turismo fora de estrada em veículos 4 X 4 ou bugue ,Cavalgadas ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Místico/Esotérico (ou visita a lugares místicos ou esotéricos);Ecoturismo,Turismo de Aventura,Turismo Rural;
LEILA APARECIDA RIBEIRO 00255839138;ADM TRAVEL;"25.186.196/0001-81";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;75.690.000;GO;Caldas Novas;Caldas Novas;RUA CEL CIRILO LOPES QD 5A LOTE 12 NIVEL C SALA LI5;(64) 3453-0498;(64) 3453-0514;diegoadm8@gmail.com;;www.admtravel.com.br;"09.080110.75.0001-8";"7990-2/00-RESERVAS RELACIONADAS A VIAGENS; SERVIÇOS DE (Primário), 7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 7912-1/00-OPERAÇÕES DE VIAGEM; SERVIÇOS DE (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário), 7990-2/00-TURISMO LOCAL; PROMOÇÃO DE (Secundário), 7911-2/00-AGENCIAMENTOS TURÍSTICOS; SERVIÇOS DE (Secundário)";Consultoria da Área de Estatística/Economia para o Turismo;Turismo de Sol e Praia,Turismo da Melhor Idade;Nenhuma das Opções
MARIO GUEDES DE ALMEIDA JUNIOR 07692997683;HNT;"24.879.796/0001-62";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;31.535.450;MG;Belo Horizonte;Visconde do Rio Branco;RUA CRISANTO MUNIZ 85;(31) 3653-3946;;contato@hnt.com.br;;www.hnteventos.com.br;"11.088346.75.0001-4";"8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Primário), 7911-2/00-PLANEJAMENTO, ASSESSORAMENTO E ORGANIZAÇÃO DE VIAGENS (Secundário), 7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário)";Consultoria em Marketing;Turismo de Negócios e Eventos;Inglês
LOURDES ROSA BITENCOURT DOS SANTOS 17293300883;LOURDES ROSA BITENCOURT DOS SANTOS 17293300883;"26.750.728/0001-24";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;11.600.000;SP;São Sebastião;PORTO GRANDE;RUA PETROPOLIS, N° 184;(12) 99611-4817;;ecoturismo.unaadventure@gmail.com;;;"26.090718.75.0001-9";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário)";Caminhadas ,Observação da fauna ,Observação da flora ,Canoagem ,Passeios em barcos e lanchas;Ecoturismo,Turismo de Aventura,Turismo de Sol e Praia;Inglês
NASCENTE AZUL EMPREENDIMENTOS TURISTICOS LTDA-ME;NASCENTE AZUL;"18.242.666/0001-11";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;79.290.000;MS;Bonito;Bonito;ROD BONITO/BODOQUENA KM 29, S/N;(67) 3255-2297;;nascenteazul@nascenteazul.com.br;;;"12.062373.75.0001-9";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Primário)";Serviços de Escafandria e Mergulho ,Caminhadas ,Tirolesa ,Observação da fauna ,Observação da flora;Ecoturismo,Turismo de Aventura,Turismo de Negócios e Eventos;Inglês
SG MUSIC HALL INSTRUMENTOS MUSICAIS LTDA EPP;MUSIC HALL;"12.539.252/0001-72";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;28.010.170;RJ;Campos dos Goytacazes;Centro;RUA VINTE E HUM DE ABRIL 230;(22) 2723-4411;;musichallrj@gmail.com;;;"19.091747.75.0001-0";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Locação de Pedalinhos ,Locação de Carrinhos Elétricos em Campos de Golfe ,Locação de Bicicletas para Fins Recreativos ,Locação de Pranchas de Surfe ,Locação de equipamentos náuticos (jet ski, banana boat, caiaque, esqui-aquático etc);;Nenhuma das Opções
COLINAS MATERIAIS PARA CONSTRUÇÃO LTDA - ME;PLANETA;"04.308.802/0001-14";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;73.740.000;GO;Colinas do Sul;Colinas do Sul;AV. ARY VALADÃO FILHO SN QD. 80 LTS. 4, 5, 6, 7 TERREO ANDAR 1 CENTRO;(62) 3354-1089;(62) 3354-1795;contfleury@hotmail.com;;;"09.058509.75.0001-4";"4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Primário), 5510-8/01-HOTEL (Secundário)";Venda de Artigos de Artesanato;Turismo Cultural;Nenhuma das Opções
AZURE CONSULTORIA EM TURISMO E PROJETOS - ME;AZURE CONSULTORIA EM TURISMO E PROJETOS LTDA;"24.685.031/0001-91";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;59.152.110;RN;Parnamirim;Nova Parnamirim;AV GASTÃO MARIZ DE FARIA,1063;(84) 2010-2105;(84) 99912-2738;anaclaudia@azureconsultoriaeprojetos.com;contato@azureconsultoriaeprojetos.com;www.azureconultoriaeprojetos.com;"20.087493.75.0001-4";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Secundário)";Consultoria em Marketing ,Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos ,Consultoria da Área de Estatística/Economia para o Turismo;Turismo Cultural,Turismo de Negócios e Eventos,Turismo de Sol e Praia;Espanhol ,Inglês
JOAO MAYCON BENITES VARGAS;CAVALGADA RECANTO DO PEAO;"21.417.366/0001-30";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;79.290.000;MS;Bonito;Bonito;RUA SANTANA DO PARAISO C/ ESTRADA BOIADEIRA, S/N;(67) 3255-1349;(67) 9659-9878;thayanni_jm@hotmail.com;;www.cavalgadarecantodopeao.com.br;"12.070528.75.0001-9";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário)";Cavalgadas;Ecoturismo,Turismo Cultural,Turismo Rural;Inglês
EDILOMARIA DANTAS DUARTE;AMAZONAS TURISMO PEDAGOGICO AMBIENTAL;"07.420.492/0001-13";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;69.010.080;AM;Manaus;Centro;RUA  24 DE MAIO Nº220  EDIF.  RIO  NEGRO;(92) 3087-2300;;edyduarte@gmail.com;;;"03.043539.75.0001-6";"7020-4/00-CONSULTORIA NA ADMINISTRAÇÃO DE EMPRESAS (Primário)";Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos ,Consultoria da Área de Estatística/Economia para o Turismo;Ecoturismo,Turismo Cultural;Espanhol ,Inglês
BARCELONA MÉDIA INOVAÇÃO BRASIL LTDA;BMIBRASIL;"15.671.056/0001-45";Sociedade Empresária;;Empresa de Médio ou Grande Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;41.820.790;BA;Salvador;Caminho das Árvores;AL. SALVADOR, 1057/SL 1605-06 SALVADOR SHOPP BUSINESS/T. AMERICA;(71) 3019-3113;;richard.alves@barcelonamedia.org.br;;www.barcelonamedia.org;"05.076962.75.0001-4";"7319-0/04-CONSULTORIA EM MARKETING (Secundário), 7319-0/04-CONSULTORIA EM PUBLICIDADE E PROPAGANDA (Secundário)";Consultoria em Marketing;Turismo de Aventura,Turismo Náutico,Turismo de Sol e Praia;Espanhol ,Inglês
NOROESTE ESPORTES E EVENTOS LTDA;NOROESTE ESPORTES E EVENTOS;"10.537.126/0001-53";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Treinamento, Instrução ou Qualificação;74.473.830;GO;Goiânia;Setor Morada do Sol;RUA DA DIVISA QD.23 LT.234;(62) 3517-5499;(62) 99987-4068;denizekioko@hotmail.com;;;"09.082685.75.0001-5";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Primário)";Cursos, Treinamentos ou Qualificações para Prestadores de Serviços Turísticos;Turismo de Esporte;Nenhuma das Opções
RL PEIXOTO FOCCUS TURISMO - ME;FOCCUS TURISMO;"27.380.434/0001-10";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;29.200.430;ES;Guarapari;Centro;AVENIDA DAVINO MATTOS,Nº55 SALA14;(27) 98157-9004;;foccusturismo@gmail.com;;www.foccusturismo.tur.br;"08.085171.75.0001-4";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7020-4/00-CONSULTORIA NA ADMINISTRAÇÃO DE EMPRESAS (Secundário)";Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos;Turismo de Negócios e Eventos;Nenhuma das Opções
